,Date,Denomination,Mint,Obverse,Reverse,Obverse_URL,Reverse_URL
0,25 BC - 23 BC,Quinarius,Emerita,"AVGVST: Head of Augustus, bare, left","P CARISI LEG: Victory standing right, placing wreath on trophy with dagger and sword at base",http://ww2.smb.museum/mk_edit/images/n8/8102/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n8/8102/rs_thumb.jpg
1,25 BC - 23 BC,Quinarius,Emerita,"AVGVST: Head of Augustus, bare, left","P CARISI LEG: Victory standing right, placing wreath on trophy with dagger and sword at base","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_161787/record_DE-MUS-062622_kenom_161787_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_161787/record_DE-MUS-062622_kenom_161787_rs.jpg/full/120,/0/default.jpg"
2,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, right","P CARISIVS LEG PRO PR: Round shield, spear-head, and curved sword",http://ww2.smb.museum/mk_edit/images/n7/7794/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7794/rs_thumb.jpg
3,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, left","P CARISIVS LEG PRO PR: Round shield, spear-head, and curved sword",http://ww2.smb.museum/mk_edit/images/n2/2615/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n2/2615/rs_thumb.jpg
4,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVSTVS: Head of Augustus, bare, right","P CARISIVS LEG PRO PR: Round shield, spear-head, and curved sword",http://ww2.smb.museum/mk_edit/images/n7/7798/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7798/rs_thumb.jpg
5,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, right",P CARISIVS LEG PRO PR: Trophy erected on mound of shields,http://ww2.smb.museum/mk_edit/images/n7/7837/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7837/rs_thumb.jpg
6,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, left",P CARISIVS LEG PRO PR: Trophy erected on mound of shields,http://ww2.smb.museum/mk_edit/images/n7/7839/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7839/rs_thumb.jpg
7,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVSTV: Head of Augustus, bare, right",P CARISIVS LEG PRO PR: Trophy erected on mound of shields,http://ww2.smb.museum/mk_edit/images/n7/7834/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7834/rs_thumb.jpg
8,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, right",P CARISIVS LEG PRO PR: Trophy resting on head of kneeling captive,http://www.britishmuseum.org/collectionimages/AN00632/AN00632751_001_l.jpg,http://www.britishmuseum.org/collectionimages/AN00631/AN00631282_001_l.jpg
9,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, right",P CARISIVS LEG PRO PR: Helmet with stag horns between dagger and bipennis,http://ww2.smb.museum/mk_edit/images/n7/7800/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7800/rs_thumb.jpg
10,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, left",P CARISIVS LEG PRO PR: Helmet with stag horns between dagger and bipennis,http://ww2.smb.museum/mk_edit/images/n7/7836/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7836/rs_thumb.jpg
11,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVSTV: Head of Augustus, bare, right",P CARISIVS LEG PRO PR: Helmet with stag horns between dagger and bipennis,http://ww2.smb.museum/mk_edit/images/n7/7833/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7833/rs_thumb.jpg
12,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, right","P CARISIVS LEG PRO PR EMERITA: City wall, gateway",http://ww2.smb.museum/mk_edit/images/n7/7842/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7842/rs_thumb.jpg
13,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVST: Head of Augustus, bare, left","P CARISIVS LEG PRO PR EMERITA: City wall, gateway",http://ww2.smb.museum/mk_edit/images/n7/7843/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n7/7843/rs_thumb.jpg
14,25 BC - 23 BC,Denarius,Emerita,"IMP CAESAR AVGVSTV: Head of Augustus, bare, right","P CARISIVS LEG PRO PR EMERITA: City wall, gateway",http://ww2.smb.museum/mk_edit/images/n0/457/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n0/457/rs_thumb.jpg
18,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVG TR POTEST: Head of Augustus, bare, right",P CARISIVS LEG AVGVSTI: Legend in three lines,http://numismatics.org/collectionimages/19501999/1969/1969.222.1280.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1969/1969.222.1280.rev.width175.jpg
20,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVG TRIB POTEST: Head of Augustus, bare, right",P CARISIVS LEG AVGVSTI: Legend in three lines,http://ww2.smb.museum/mk_edit/images/n38/38044/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n38/38044/rs_thumb.jpg
21,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVG TRIB POTEST: Head of Augustus, bare, left",P CARISIVS LEG AVGVSTI: Legend in three lines,"http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_122803/record_DE-MUS-062622_kenom_122803_vs.jpg/full/120,/0/default.jpg","http://www.kenom.de/iiif/image/record_DE-MUS-062622_kenom_122803/record_DE-MUS-062622_kenom_122803_rs.jpg/full/120,/0/default.jpg"
22,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVG TRIBVN POTES: Head of Augustus, bare, left",P CARISIVS LEG AVGVSTI: Legend in three lines,http://ww2.smb.museum/mk_edit/images/n38/38060/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n38/38060/rs_thumb.jpg
24,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVG TRIBVNI POTES: Head of Augustus, bare, right",P CARISIVS LEG AVGVSTI: Legend in three lines,http://numismatics.org/collectionimages/19001949/1944/1944.100.39084.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39084.rev.width175.jpg
26,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVGV TRIB POTEST: Head of Augustus, bare, right",P CARISIVS LEG AVGVSTI: Legend in three lines,http://ww2.smb.museum/mk_edit/images/n38/38041/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n38/38041/rs_thumb.jpg
27,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVGV TRIBVN POTES: Head of Augustus, bare, left",P CARISIVS LEG AVGVSTI: Legend in three lines,http://numismatics.org/collectionimages/19001949/1944/1944.100.39085.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1944/1944.100.39085.rev.width175.jpg
29,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVGVST TRIB POTEST: Head of Augustus, bare, right",P CARISIVS LEG AVGVSTI: Legend in three lines,http://numismatics.org/collectionimages/19501999/1969/1969.222.1282.obv.width175.jpg,http://numismatics.org/collectionimages/19501999/1969/1969.222.1282.rev.width175.jpg
31,25 BC - 23 BC,As,Caesaraugusta,"CAESAR AVGVST TRIBVNI POTEST: Head of Augustus, bare, right",P CARISIVS LEG AVGVSTI: Legend in three lines,http://ww2.smb.museum/mk_edit/images/n38/38039/vs_thumb.jpg,http://ww2.smb.museum/mk_edit/images/n38/38039/rs_thumb.jpg
